matcher,P,R,Res,Cal,P_bin,R_bin,Res_bin,Cal_bin,"('P_bin', 'R_bin')","('P_bin', 'Res_bin')","('P_bin', 'Cal_bin')","('R_bin', 'Res_bin')","('R_bin', 'Cal_bin')","('Res_bin', 'Cal_bin')","('P_bin', 'R_bin', 'Res_bin')","('P_bin', 'R_bin', 'Cal_bin')","('P_bin', 'Res_bin', 'Cal_bin')","('R_bin', 'Res_bin', 'Cal_bin')","('P_bin', 'R_bin', 'Res_bin', 'Cal_bin')"
55,0.2682926829268293,0.3384615384615385,-0.4567901234567901,0.7170731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.6206896551724138,0.27692307692307694,-1.0,0.36724137931034473,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.8888888888888888,0.36923076923076925,1.0,-0.1777777777777776,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,0.03754266211604096,0.16923076923076924,0.16271299699298364,0.38718088737201367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.35802469135802467,0.4461538461538462,1.0,0.5061728395061729,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.9142857142857143,0.49230769230769234,0.8285714285714286,0.021428571428571463,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
63,0.5333333333333333,0.24615384615384617,1.0,0.28533333333333344,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64,0.7619047619047619,0.24615384615384617,0.0,0.23809523809523814,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.4722222222222222,0.26153846153846155,0.7422222222222222,0.3194444444444443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.04,0.03076923076923077,-0.38461538461538464,0.5254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.3333333333333333,0.2153846153846154,0.874439461883408,0.3154761904761905,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5428571428571428,0.2923076923076923,0.1875,0.37857142857142856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.10126582278481013,0.12307692307692308,0.3837837837837838,0.8291139240506329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.8823529411764706,0.46153846153846156,-1.0,0.10882352941176476,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
73,0.825,0.5076923076923077,0.14583333333333334,0.12875000000000003,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
74,0.5277777777777778,0.2923076923076923,0.7874396135265701,0.3541666666666665,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.4411764705882353,0.23076923076923078,-0.152,3.3882352941176475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.8823529411764706,0.46153846153846156,0.7058823529411765,0.038235294117647145,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
77,0.7058823529411765,0.36923076923076925,-0.08270676691729323,0.16470588235294104,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.84375,0.4153846153846154,0.59375,-0.09999999999999998,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
82,0.012422360248447204,0.03076923076923077,0.03942652329749104,0.5247826086956521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.45714285714285713,0.24615384615384617,1.0,0.4371428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.8780487804878049,0.5538461538461539,0.5764705882352941,-0.25853658536585356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,0.1956521739130435,0.27692307692307694,1.0,0.7945652173913043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.175,0.1076923076923077,-0.3125,0.27699999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.03333333333333333,0.015384615384615385,1.0,0.7833333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.8983050847457628,0.8153846153846154,0.9158576051779935,0.011016949152542366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,0.6111111111111112,0.3384615384615385,0.5914893617021276,0.14722222222222214,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
94,0.8,0.12307692307692308,1.0,0.09999999999999998,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
95,0.8636363636363636,0.2923076923076923,0.5,-0.022727272727272707,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.4,0.09230769230769231,0.9090909090909091,0.26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,0.8333333333333334,0.5384615384615384,-0.26406926406926406,-0.22809523809523813,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
